PriceHistoryID,ProductID,EffectiveDate,StandardCost,ListPrice,ChangeReason
PH000013532,P01532,2023-10-06,159.49,221.49,Cost Increase
PH000013533,P01533,2023-09-26,23.55,36.46,Cost Increase
PH000013534,P01534,2023-10-04,34.53,51.39,Annual Review
PH000013535,P01535,2023-09-24,123.73,195.57,Promotion End
PH000013536,P01536,2023-09-27,52.46,74.35,Annual Review
PH000013537,P01537,2023-10-02,9.63,12.84,Cost Increase
PH000013538,P01538,2023-09-30,69.34,107.77,Annual Review
PH000013539,P01539,2023-09-30,29.06,46.77,Promotion End
PH000013540,P01540,2023-10-01,12.0,14.66,Market Adjustment
PH000013541,P01541,2023-10-05,20.9,34.02,Promotion End
PH000013542,P01542,2023-10-05,32.75,39.58,Annual Review
PH000013543,P01543,2023-10-07,20.64,29.31,Annual Review
PH000013544,P01544,2023-09-19,12.76,16.76,Annual Review
PH000013545,P01545,2023-10-01,31.95,40.15,Promotion End
PH000013546,P01546,2023-10-01,68.32,115.58,Cost Increase
PH000013547,P01547,2023-10-06,54.51,86.1,Market Adjustment
PH000013548,P01548,2023-09-25,103.85,135.21,Cost Increase
PH000013549,P01549,2023-10-03,72.11,91.17,Annual Review
PH000013550,P01550,2023-09-24,119.32,154.06,Market Adjustment
PH000013551,P01551,2023-09-30,14.02,17.54,Annual Review
PH000013552,P01552,2023-09-28,48.58,79.32,Annual Review
PH000013553,P01553,2023-10-07,27.58,33.26,Promotion End
PH000013554,P01554,2023-10-05,48.37,82.97,Promotion End
PH000013555,P01555,2023-09-19,11.81,13.29,Annual Review
PH000013556,P01556,2023-09-28,32.99,58.06,Annual Review
PH000013557,P01557,2023-10-05,89.71,119.36,Cost Increase
PH000013558,P01558,2023-09-30,35.75,52.1,Cost Increase
PH000013559,P01559,2023-10-05,18.28,26.11,Market Adjustment
PH000013560,P01560,2023-10-03,15.72,19.64,Annual Review
PH000013561,P01561,2023-09-25,36.21,54.4,Cost Increase
PH000013562,P01562,2023-09-30,47.12,70.09,Promotion End
PH000013563,P01563,2023-09-23,33.84,42.48,Annual Review
PH000013564,P01564,2023-09-29,28.16,52.04,Annual Review
PH000013565,P01565,2023-10-01,16.78,20.8,Market Adjustment
PH000013566,P01566,2023-09-29,45.64,71.95,Market Adjustment
PH000013567,P01567,2023-10-03,30.02,44.87,Annual Review
PH000013568,P01568,2023-10-04,19.61,24.28,Cost Increase
PH000013569,P01569,2023-10-08,68.29,79.5,Market Adjustment
PH000013570,P01570,2023-09-19,40.68,51.9,Cost Increase
PH000013571,P01571,2023-10-01,24.6,29.77,Annual Review
PH000013572,P01572,2023-09-22,23.79,39.09,Cost Increase
PH000013573,P01573,2023-10-05,21.68,30.98,Market Adjustment
PH000013574,P01574,2023-09-21,50.43,77.28,Market Adjustment
PH000013575,P01575,2023-09-24,98.66,176.55,Promotion End
PH000013576,P01576,2023-10-08,34.38,39.64,Cost Increase
PH000013577,P01577,2023-09-18,39.0,63.48,Annual Review
PH000013578,P01578,2023-10-02,18.66,30.11,Annual Review
PH000013579,P01579,2023-09-24,182.46,309.95,Promotion End
PH000013580,P01580,2023-09-18,10.25,16.52,Annual Review
PH000013581,P01581,2023-10-02,27.01,47.99,Promotion End
PH000013582,P01582,2023-10-06,42.95,48.17,Market Adjustment
PH000013583,P01583,2023-10-08,18.23,25.3,Promotion End
PH000013584,P01584,2023-09-29,15.34,18.74,Cost Increase
PH000013585,P01585,2023-09-27,14.72,26.18,Promotion End
PH000013586,P01586,2023-09-22,60.08,75.76,Market Adjustment
PH000013587,P01587,2023-10-03,56.19,79.57,Annual Review
PH000013588,P01588,2023-09-27,49.65,79.3,Annual Review
PH000013589,P01589,2023-10-03,51.48,80.76,Cost Increase
PH000013590,P01590,2023-10-02,45.24,79.22,Annual Review
PH000013591,P01591,2023-10-08,14.3,22.95,Annual Review
PH000013592,P01592,2023-09-18,17.42,23.91,Cost Increase
PH000013593,P01593,2023-09-19,47.28,85.09,Cost Increase
PH000013594,P01594,2023-10-04,14.69,20.75,Promotion End
PH000013595,P01595,2023-10-01,22.78,27.81,Annual Review
PH000013596,P01596,2023-09-21,10.64,15.4,Annual Review
PH000013597,P01597,2023-09-28,30.74,38.01,Promotion End
PH000013598,P01598,2023-09-18,26.12,30.2,Market Adjustment
PH000013599,P01599,2023-10-01,11.75,19.23,Promotion End
PH000013600,P01600,2023-09-25,58.49,69.57,Annual Review
PH000013601,P01601,2023-09-28,19.5,23.91,Annual Review
PH000013602,P01602,2023-10-07,23.14,31.02,Cost Increase
PH000013603,P01603,2023-10-01,38.32,51.94,Annual Review
PH000013604,P01604,2023-09-23,38.97,52.22,Market Adjustment
PH000013605,P01605,2023-09-30,57.73,70.81,Market Adjustment
PH000013606,P01606,2023-09-24,29.0,37.8,Market Adjustment
PH000013607,P01607,2023-09-20,46.19,70.5,Cost Increase
PH000013608,P01608,2023-10-04,59.03,81.13,Cost Increase
PH000013609,P01609,2023-10-02,11.32,14.42,Cost Increase
PH000013610,P01610,2023-10-03,134.74,238.89,Cost Increase
PH000013611,P01611,2023-09-19,77.58,134.56,Cost Increase
PH000013612,P01612,2023-09-20,8.97,11.84,Cost Increase
PH000013613,P01613,2023-10-05,34.87,41.71,Promotion End
PH000013614,P01614,2023-10-05,15.4,20.81,Market Adjustment
PH000013615,P01615,2023-10-04,44.8,68.86,Cost Increase
PH000013616,P01616,2023-10-04,20.93,38.48,Market Adjustment
PH000013617,P01617,2023-09-20,13.22,17.28,Promotion End
PH000013618,P01618,2023-10-06,20.27,35.17,Cost Increase
PH000013619,P01619,2023-10-01,62.04,98.41,Cost Increase
PH000013620,P01620,2023-09-18,53.41,89.03,Cost Increase
PH000013621,P01621,2023-09-18,62.04,74.83,Promotion End
PH000013622,P01622,2023-09-18,34.7,59.57,Market Adjustment
PH000013623,P01623,2023-09-21,39.19,48.74,Promotion End
PH000013624,P01624,2023-10-03,15.97,19.12,Promotion End
PH000013625,P01625,2023-09-22,52.09,89.72,Promotion End
PH000013626,P01626,2023-09-29,64.16,118.12,Market Adjustment
PH000013627,P01627,2023-10-03,10.45,14.82,Promotion End
PH000013628,P01628,2023-10-02,22.41,29.32,Annual Review
PH000013629,P01629,2023-10-06,17.73,27.19,Annual Review
PH000013630,P01630,2023-10-01,15.42,19.33,Promotion End
PH000013631,P01631,2023-09-19,30.68,48.3,Cost Increase
PH000013632,P01632,2023-09-30,35.31,55.81,Annual Review
PH000013633,P01633,2023-09-23,20.33,26.82,Annual Review
PH000013634,P01634,2023-09-27,4.24,6.88,Market Adjustment
PH000013635,P01635,2023-10-04,23.08,36.07,Cost Increase
PH000013636,P01636,2023-10-08,60.2,87.63,Promotion End
PH000013637,P01637,2023-09-24,25.06,30.01,Promotion End
PH000013638,P01638,2023-09-27,7.36,10.31,Promotion End
PH000013639,P01639,2023-09-30,54.98,87.47,Annual Review
PH000013640,P01640,2023-09-29,16.89,26.5,Annual Review
PH000013641,P01641,2023-09-29,98.16,147.58,Market Adjustment
PH000013642,P01642,2023-10-01,19.56,29.95,Market Adjustment
PH000013643,P01643,2023-09-18,17.01,21.04,Cost Increase
PH000013644,P01644,2023-09-24,11.2,13.62,Annual Review
PH000013645,P01645,2023-10-04,21.01,29.0,Market Adjustment
PH000013646,P01646,2023-09-27,24.9,33.74,Annual Review
PH000013647,P01647,2023-10-02,20.05,26.41,Market Adjustment
PH000013648,P01648,2023-09-20,19.13,24.02,Promotion End
PH000013649,P01649,2023-09-26,39.22,51.43,Cost Increase
PH000013650,P01650,2023-09-18,21.36,26.15,Promotion End
PH000013651,P01651,2023-09-23,41.84,75.39,Annual Review
PH000013652,P01652,2023-09-25,54.94,82.88,Cost Increase
PH000013653,P01653,2023-09-27,253.45,407.83,Cost Increase
PH000013654,P01654,2023-09-26,39.4,71.8,Market Adjustment
PH000013655,P01655,2023-10-01,14.14,21.54,Cost Increase
PH000013656,P01656,2023-10-05,19.82,23.55,Promotion End
PH000013657,P01657,2023-10-07,25.66,36.96,Annual Review
PH000013658,P01658,2023-09-22,59.65,79.49,Promotion End
PH000013659,P01659,2023-10-08,25.84,46.06,Cost Increase
PH000013660,P01660,2023-09-25,64.69,78.5,Promotion End
PH000013661,P01661,2023-09-18,9.11,11.85,Market Adjustment
PH000013662,P01662,2023-10-03,32.69,48.88,Annual Review
PH000013663,P01663,2023-10-03,53.92,84.61,Promotion End
PH000013664,P01664,2023-10-03,41.97,66.57,Cost Increase
PH000013665,P01665,2023-09-18,17.48,28.26,Annual Review
PH000013666,P01666,2023-10-02,28.83,33.37,Promotion End
PH000013667,P01667,2023-10-06,7.79,11.4,Promotion End
PH000013668,P01668,2023-10-06,29.2,40.04,Market Adjustment
PH000013669,P01669,2023-10-06,24.18,31.53,Cost Increase
PH000013670,P01670,2023-09-27,13.38,23.05,Promotion End
PH000013671,P01671,2023-09-27,22.21,38.45,Promotion End
PH000013672,P01672,2023-09-30,91.26,121.33,Promotion End
PH000013673,P01673,2023-10-02,9.97,13.77,Promotion End
PH000013674,P01674,2023-09-24,34.24,46.6,Annual Review
PH000013675,P01675,2023-09-19,42.64,55.53,Promotion End
PH000013676,P01676,2023-09-28,29.88,37.43,Cost Increase
PH000013677,P01677,2023-09-21,50.41,88.23,Promotion End
PH000013678,P01678,2023-10-04,22.21,37.57,Promotion End
PH000013679,P01679,2023-10-07,18.6,21.61,Market Adjustment
PH000013680,P01680,2023-09-26,14.31,25.34,Market Adjustment
PH000013681,P01681,2023-09-29,27.61,35.03,Promotion End
PH000013682,P01682,2023-10-04,32.92,55.66,Promotion End
PH000013683,P01683,2023-10-05,39.77,63.16,Annual Review
PH000013684,P01684,2023-09-18,28.83,48.47,Promotion End
PH000013685,P01685,2023-09-30,35.1,61.23,Annual Review
PH000013686,P01686,2023-09-30,23.6,35.72,Cost Increase
PH000013687,P01687,2023-10-01,10.2,14.48,Cost Increase
PH000013688,P01688,2023-09-19,27.91,53.97,Market Adjustment
PH000013689,P01689,2023-10-01,44.51,66.07,Cost Increase
PH000013690,P01690,2023-09-30,14.29,18.43,Market Adjustment
PH000013691,P01691,2023-09-30,33.55,47.98,Annual Review
PH000013692,P01692,2023-09-21,106.03,134.06,Cost Increase
PH000013693,P01693,2023-09-27,27.51,44.28,Market Adjustment
PH000013694,P01694,2023-10-07,27.83,35.32,Promotion End
PH000013695,P01695,2023-09-29,9.75,12.28,Cost Increase
PH000013696,P01696,2023-09-22,13.34,25.37,Promotion End
PH000013697,P01697,2023-09-26,16.39,21.1,Cost Increase
PH000013698,P01698,2023-09-29,43.93,66.97,Cost Increase
PH000013699,P01699,2023-09-18,15.02,20.14,Market Adjustment
PH000013700,P01700,2023-09-28,7.63,10.77,Annual Review
PH000013701,P01701,2023-09-22,37.0,49.25,Annual Review
PH000013702,P01702,2023-09-26,17.69,20.68,Promotion End
PH000013703,P01703,2023-09-20,9.74,11.69,Market Adjustment
PH000013704,P01704,2023-09-28,47.31,70.16,Market Adjustment
PH000013705,P01705,2023-09-23,39.7,55.91,Market Adjustment
PH000013706,P01706,2023-10-05,6.08,9.39,Annual Review
PH000013707,P01707,2023-10-07,30.5,52.68,Cost Increase
PH000013708,P01708,2023-10-08,13.19,14.77,Market Adjustment
PH000013709,P01709,2023-09-24,30.44,49.02,Promotion End
PH000013710,P01710,2023-09-26,31.46,37.88,Promotion End
PH000013711,P01711,2023-10-03,29.36,34.36,Promotion End
PH000013712,P01712,2023-09-22,60.11,92.09,Market Adjustment
PH000013713,P01713,2023-09-25,203.95,354.16,Market Adjustment
PH000013714,P01714,2023-10-06,36.86,55.61,Cost Increase
PH000013715,P01715,2023-10-07,107.31,189.48,Promotion End
PH000013716,P01716,2023-09-27,9.25,17.12,Cost Increase
PH000013717,P01717,2023-09-23,22.86,26.35,Cost Increase
PH000013718,P01718,2023-09-19,11.9,22.46,Promotion End
PH000013719,P01719,2023-09-25,17.89,26.7,Annual Review
PH000013720,P01720,2023-09-24,23.43,30.07,Market Adjustment
PH000013721,P01721,2023-09-20,114.89,171.88,Promotion End
PH000013722,P01722,2023-09-24,29.77,42.16,Annual Review
PH000013723,P01723,2023-09-20,61.1,85.35,Annual Review
PH000013724,P01724,2023-09-18,21.44,25.48,Promotion End
PH000013725,P01725,2023-09-21,19.47,33.87,Market Adjustment
PH000013726,P01726,2023-09-30,9.4,16.21,Promotion End
PH000013727,P01727,2023-09-25,108.85,189.28,Cost Increase
PH000013728,P01728,2023-09-18,79.75,101.71,Market Adjustment
PH000013729,P01729,2023-10-04,33.63,52.72,Promotion End
PH000013730,P01730,2023-10-08,24.45,41.88,Annual Review
PH000013731,P01731,2023-09-28,31.23,45.61,Annual Review
PH000013732,P01732,2023-09-29,11.54,16.26,Promotion End
PH000013733,P01733,2023-09-20,41.02,68.82,Annual Review
PH000013734,P01734,2023-10-04,74.54,117.78,Market Adjustment
PH000013735,P01735,2023-09-21,78.56,96.56,Promotion End
PH000013736,P01736,2023-10-05,9.45,17.92,Market Adjustment
PH000013737,P01737,2023-09-21,62.97,74.87,Promotion End
PH000013738,P01738,2023-09-28,11.48,14.02,Market Adjustment
PH000013739,P01739,2023-10-05,6.48,9.05,Cost Increase
PH000013740,P01740,2023-10-04,62.83,99.79,Market Adjustment
PH000013741,P01741,2023-10-03,20.27,32.1,Promotion End
PH000013742,P01742,2023-09-27,57.04,99.04,Promotion End
PH000013743,P01743,2023-10-08,51.89,91.67,Cost Increase
PH000013744,P01744,2023-10-06,47.75,62.47,Market Adjustment
PH000013745,P01745,2023-09-23,30.15,40.53,Cost Increase
PH000013746,P01746,2023-10-06,12.51,14.77,Promotion End
PH000013747,P01747,2023-09-23,22.89,35.39,Promotion End
PH000013748,P01748,2023-09-20,78.39,117.45,Cost Increase
PH000013749,P01749,2023-09-20,56.81,70.23,Annual Review
PH000013750,P01750,2023-09-23,24.13,36.55,Cost Increase
PH000013751,P01751,2023-09-28,24.01,33.1,Cost Increase
PH000013752,P01752,2023-09-29,44.25,73.18,Annual Review
PH000013753,P01753,2023-09-23,31.9,37.07,Annual Review
PH000013754,P01754,2023-10-01,25.39,32.95,Market Adjustment
PH000013755,P01755,2023-10-01,41.49,66.57,Cost Increase
PH000013756,P01756,2023-10-03,41.66,46.29,Annual Review
PH000013757,P01757,2023-10-01,18.0,26.33,Cost Increase
PH000013758,P01758,2023-09-25,36.4,64.94,Cost Increase
PH000013759,P01759,2023-10-05,38.49,66.0,Cost Increase
PH000013760,P01760,2023-09-20,28.46,33.7,Promotion End
PH000013761,P01761,2023-09-28,17.32,21.81,Annual Review
PH000013762,P01762,2023-09-29,22.51,34.99,Promotion End
PH000013763,P01763,2023-09-21,15.0,19.63,Market Adjustment
PH000013764,P01764,2023-09-25,36.59,44.54,Promotion End
PH000013765,P01765,2023-09-19,9.72,14.12,Cost Increase
PH000013766,P01766,2023-10-08,84.87,119.49,Annual Review
PH000013767,P01767,2023-09-20,71.09,95.15,Market Adjustment
PH000013768,P01768,2023-10-02,39.35,73.05,Promotion End
PH000013769,P01769,2023-10-08,53.69,74.26,Annual Review
PH000013770,P01770,2023-09-20,53.54,75.42,Cost Increase
PH000013771,P01771,2023-09-27,32.43,45.13,Promotion End
PH000013772,P01772,2023-10-02,25.5,31.38,Cost Increase
PH000013773,P01773,2023-09-23,23.21,30.05,Promotion End
PH000013774,P01774,2023-10-04,87.5,162.29,Promotion End
PH000013775,P01775,2023-10-01,16.56,20.75,Promotion End
PH000013776,P01776,2023-09-28,16.65,30.69,Cost Increase
PH000013777,P01777,2023-10-02,58.49,90.96,Market Adjustment
PH000013778,P01778,2023-10-08,54.18,91.38,Annual Review
PH000013779,P01779,2023-09-26,24.99,37.35,Annual Review
PH000013780,P01780,2023-09-26,43.53,65.15,Market Adjustment
PH000013781,P01781,2023-09-21,48.17,89.32,Promotion End
PH000013782,P01782,2023-09-19,12.12,16.84,Annual Review
PH000013783,P01783,2023-09-19,73.59,107.14,Promotion End
PH000013784,P01784,2023-10-06,47.63,71.85,Annual Review
PH000013785,P01785,2023-09-20,40.41,50.87,Cost Increase
PH000013786,P01786,2023-09-24,46.5,56.74,Market Adjustment
PH000013787,P01787,2023-10-02,36.44,50.74,Cost Increase
PH000013788,P01788,2023-09-20,19.06,34.77,Annual Review
PH000013789,P01789,2023-10-01,35.73,65.0,Promotion End
PH000013790,P01790,2023-09-19,43.24,59.17,Market Adjustment
PH000013791,P01791,2023-09-26,45.51,66.99,Market Adjustment
PH000013792,P01792,2023-10-04,29.71,41.29,Promotion End
PH000013793,P01793,2023-10-03,35.51,55.44,Promotion End
PH000013794,P01794,2023-09-26,13.86,23.84,Annual Review
PH000013795,P01795,2023-09-30,16.27,25.17,Annual Review
PH000013796,P01796,2023-09-25,27.01,44.5,Annual Review
PH000013797,P01797,2023-09-25,99.98,130.09,Promotion End
PH000013798,P01798,2023-10-06,21.63,33.5,Cost Increase
PH000013799,P01799,2023-09-25,20.66,28.89,Annual Review
PH000013800,P01800,2023-10-03,8.08,13.9,Market Adjustment
PH000013801,P01801,2023-09-28,55.86,76.55,Market Adjustment
PH000013802,P01802,2023-10-07,10.53,18.48,Cost Increase
PH000013803,P01803,2023-09-20,29.29,36.98,Cost Increase
PH000013804,P01804,2023-10-04,8.87,10.72,Market Adjustment
PH000013805,P01805,2023-09-30,48.47,70.75,Annual Review
PH000013806,P01806,2023-10-06,45.19,76.15,Promotion End
PH000013807,P01807,2023-09-20,19.34,22.75,Cost Increase
PH000013808,P01808,2023-09-19,7.85,12.58,Annual Review
PH000013809,P01809,2023-09-22,64.23,102.82,Cost Increase
PH000013810,P01810,2023-09-23,36.7,50.24,Market Adjustment
PH000013811,P01811,2023-09-26,35.22,43.69,Cost Increase
PH000013812,P01812,2023-10-05,15.52,18.15,Promotion End
PH000013813,P01813,2023-10-08,27.35,38.21,Market Adjustment
PH000013814,P01814,2023-10-08,29.97,37.91,Market Adjustment
PH000013815,P01815,2023-10-01,67.36,77.36,Cost Increase
PH000013816,P01816,2023-10-03,47.47,69.74,Promotion End
PH000013817,P01817,2023-10-05,18.1,21.66,Cost Increase
PH000013818,P01818,2023-09-29,25.71,38.28,Annual Review
PH000013819,P01819,2023-09-23,23.86,42.91,Cost Increase
PH000013820,P01820,2023-10-04,33.52,61.83,Market Adjustment
PH000013821,P01821,2023-09-24,9.67,17.65,Market Adjustment
PH000013822,P01822,2023-10-06,27.0,44.06,Market Adjustment
PH000013823,P01823,2023-10-08,23.7,28.89,Annual Review
PH000013824,P01824,2023-10-07,76.46,101.03,Annual Review
PH000013825,P01825,2023-09-27,73.53,89.88,Annual Review
PH000013826,P01826,2023-09-19,76.3,96.39,Cost Increase
PH000013827,P01827,2023-09-18,52.38,75.1,Market Adjustment
PH000013828,P01828,2023-09-29,44.65,54.94,Promotion End
PH000013829,P01829,2023-09-21,24.03,36.34,Promotion End
PH000013830,P01830,2023-09-29,15.46,19.3,Cost Increase
PH000013831,P01831,2023-09-24,29.49,39.38,Annual Review
PH000013832,P01832,2023-10-06,21.37,28.55,Cost Increase
PH000013833,P01833,2023-09-23,24.88,33.49,Market Adjustment
PH000013834,P01834,2023-10-03,29.34,32.74,Promotion End
PH000013835,P01835,2023-09-20,8.31,11.52,Annual Review
PH000013836,P01836,2023-09-30,39.71,55.37,Cost Increase
PH000013837,P01837,2023-09-20,43.0,65.93,Market Adjustment
PH000013838,P01838,2023-10-01,10.88,16.87,Promotion End
PH000013839,P01839,2023-10-02,13.77,18.2,Promotion End
PH000013840,P01840,2023-09-25,17.88,23.33,Promotion End
PH000013841,P01841,2023-10-02,17.91,31.6,Promotion End
PH000013842,P01842,2023-10-03,30.93,43.68,Annual Review
PH000013843,P01843,2023-09-19,13.47,16.56,Market Adjustment
PH000013844,P01844,2023-10-05,12.2,14.9,Cost Increase
PH000013845,P01845,2023-10-06,179.11,264.94,Annual Review
PH000013846,P01846,2023-09-28,47.9,61.82,Market Adjustment
PH000013847,P01847,2023-10-03,7.53,9.43,Annual Review
PH000013848,P01848,2023-10-06,68.89,107.81,Market Adjustment
PH000013849,P01849,2023-10-06,17.16,21.04,Cost Increase
PH000013850,P01850,2023-10-07,13.73,24.68,Promotion End
PH000013851,P01851,2023-09-22,27.26,33.53,Annual Review
PH000013852,P01852,2023-09-27,17.38,26.8,Cost Increase
PH000013853,P01853,2023-09-18,40.62,59.07,Market Adjustment
PH000013854,P01854,2023-09-21,25.73,42.85,Annual Review
PH000013855,P01855,2023-10-01,25.97,32.44,Market Adjustment
PH000013856,P01856,2023-09-19,40.56,49.46,Annual Review
PH000013857,P01857,2023-10-02,26.34,32.55,Annual Review
PH000013858,P01858,2023-10-02,16.86,21.77,Market Adjustment
PH000013859,P01859,2023-09-22,48.41,79.57,Cost Increase
PH000013860,P01860,2023-10-03,38.65,57.81,Market Adjustment
PH000013861,P01861,2023-10-02,29.38,46.29,Cost Increase
PH000013862,P01862,2023-09-18,55.43,97.11,Market Adjustment
PH000013863,P01863,2023-09-19,27.22,42.9,Market Adjustment
PH000013864,P01864,2023-10-05,33.96,62.82,Cost Increase
PH000013865,P01865,2023-09-29,34.68,55.57,Annual Review
PH000013866,P01866,2023-09-24,16.93,25.23,Promotion End
PH000013867,P01867,2023-09-24,214.3,249.17,Annual Review
PH000013868,P01868,2023-09-28,29.74,54.05,Annual Review
PH000013869,P01869,2023-09-23,19.93,28.7,Annual Review
PH000013870,P01870,2023-09-29,17.9,27.16,Market Adjustment
PH000013871,P01871,2023-09-24,9.2,11.04,Annual Review
PH000013872,P01872,2023-10-05,8.81,14.29,Cost Increase
PH000013873,P01873,2023-09-21,198.23,292.63,Promotion End
PH000013874,P01874,2023-09-30,9.08,13.35,Annual Review
PH000013875,P01875,2023-10-03,16.88,24.49,Cost Increase
PH000013876,P01876,2023-09-24,23.52,35.36,Annual Review
PH000013877,P01877,2023-09-25,25.48,35.41,Annual Review
PH000013878,P01878,2023-10-07,24.29,42.52,Promotion End
PH000013879,P01879,2023-10-08,24.76,33.25,Market Adjustment
PH000013880,P01880,2023-09-24,36.97,56.57,Cost Increase
PH000013881,P01881,2023-09-21,20.57,24.97,Promotion End
PH000013882,P01882,2023-09-29,35.45,44.68,Cost Increase
PH000013883,P01883,2023-09-27,27.42,40.37,Market Adjustment
PH000013884,P01884,2023-09-30,53.41,94.35,Annual Review
PH000013885,P01885,2023-09-20,54.43,89.98,Market Adjustment
PH000013886,P01886,2023-09-27,20.5,28.72,Promotion End
PH000013887,P01887,2023-10-01,37.44,47.34,Cost Increase
PH000013888,P01888,2023-09-19,61.2,70.23,Promotion End
PH000013889,P01889,2023-09-20,15.41,23.91,Promotion End
PH000013890,P01890,2023-10-04,27.17,45.05,Promotion End
PH000013891,P01891,2023-09-20,37.64,61.33,Cost Increase
PH000013892,P01892,2023-10-03,14.81,18.16,Market Adjustment
PH000013893,P01893,2023-09-22,102.19,158.0,Market Adjustment
PH000013894,P01894,2023-10-03,22.44,31.35,Annual Review
PH000013895,P01895,2023-09-30,99.87,175.1,Promotion End
PH000013896,P01896,2023-10-03,20.88,36.38,Promotion End
PH000013897,P01897,2023-10-05,21.94,28.53,Market Adjustment
PH000013898,P01898,2023-10-08,9.94,14.99,Market Adjustment
PH000013899,P01899,2023-10-02,8.77,12.91,Cost Increase
PH000013900,P01900,2023-10-08,52.06,62.51,Promotion End
PH000013901,P01901,2023-09-30,22.65,42.39,Market Adjustment
PH000013902,P01902,2023-10-02,24.09,29.08,Market Adjustment
PH000013903,P01903,2023-10-05,56.18,80.34,Market Adjustment
PH000013904,P01904,2023-10-05,15.89,23.33,Promotion End
PH000013905,P01905,2023-09-21,26.38,43.01,Annual Review
PH000013906,P01906,2023-09-27,33.82,43.79,Market Adjustment
PH000013907,P01907,2023-09-18,20.22,30.69,Promotion End
PH000013908,P01908,2023-09-19,62.24,103.19,Annual Review
PH000013909,P01909,2023-10-05,27.81,47.92,Annual Review
PH000013910,P01910,2023-09-27,86.52,118.48,Cost Increase
PH000013911,P01911,2023-09-25,55.97,74.14,Annual Review
PH000013912,P01912,2023-09-27,26.92,33.3,Cost Increase
PH000013913,P01913,2023-09-22,22.65,41.41,Annual Review
PH000013914,P01914,2023-09-30,51.4,59.66,Cost Increase
PH000013915,P01915,2023-09-20,34.43,45.85,Promotion End
PH000013916,P01916,2023-09-19,14.66,25.63,Promotion End
PH000013917,P01917,2023-09-25,24.83,29.48,Cost Increase
PH000013918,P01918,2023-10-03,76.54,87.86,Cost Increase
PH000013919,P01919,2023-09-22,42.31,58.91,Promotion End
PH000013920,P01920,2023-09-25,22.61,33.95,Cost Increase
PH000013921,P01921,2023-09-30,11.07,18.21,Annual Review
PH000013922,P01922,2023-09-29,35.32,44.62,Market Adjustment
PH000013923,P01923,2023-09-18,30.18,54.4,Annual Review
PH000013924,P01924,2023-10-01,26.72,43.63,Promotion End
PH000013925,P01925,2023-09-21,52.18,64.01,Promotion End
PH000013926,P01926,2023-09-27,42.94,49.48,Promotion End
PH000013927,P01927,2023-09-22,11.17,13.08,Market Adjustment
PH000013928,P01928,2023-10-04,29.82,52.79,Annual Review
PH000013929,P01929,2023-10-07,12.87,18.31,Promotion End
PH000013930,P01930,2023-10-06,21.41,38.51,Annual Review
PH000013931,P01931,2023-09-26,12.26,14.43,Market Adjustment
PH000013932,P01932,2023-09-29,12.48,15.86,Annual Review
PH000013933,P01933,2023-09-18,8.48,12.52,Annual Review
PH000013934,P01934,2023-10-04,38.82,50.19,Cost Increase
PH000013935,P01935,2023-10-02,35.96,44.99,Annual Review
PH000013936,P01936,2023-09-24,28.22,35.53,Market Adjustment
PH000013937,P01937,2023-09-24,20.57,25.51,Annual Review
PH000013938,P01938,2023-09-21,11.56,17.21,Market Adjustment
PH000013939,P01939,2023-09-20,13.18,23.38,Annual Review
PH000013940,P01940,2023-10-06,11.24,18.36,Promotion End
PH000013941,P01941,2023-10-07,19.96,37.92,Annual Review
PH000013942,P01942,2023-09-28,36.48,63.75,Market Adjustment
PH000013943,P01943,2023-10-08,16.42,24.05,Market Adjustment
PH000013944,P01944,2023-09-27,14.24,25.73,Cost Increase
PH000013945,P01945,2023-09-30,23.3,42.19,Promotion End
PH000013946,P01946,2023-09-18,12.22,17.65,Cost Increase
PH000013947,P01947,2023-10-05,5.67,8.05,Cost Increase
PH000013948,P01948,2023-09-21,45.18,55.32,Cost Increase
PH000013949,P01949,2023-09-25,10.7,17.84,Market Adjustment
PH000013950,P01950,2023-10-07,18.17,25.68,Market Adjustment
PH000013951,P01951,2023-10-08,44.76,60.94,Promotion End
PH000013952,P01952,2023-10-05,9.72,13.96,Promotion End
PH000013953,P01953,2023-10-01,9.08,15.33,Cost Increase
PH000013954,P01954,2023-09-21,9.35,12.43,Cost Increase
PH000013955,P01955,2023-09-20,13.49,23.85,Annual Review
PH000013956,P01956,2023-10-07,73.54,114.38,Cost Increase
PH000013957,P01957,2023-09-28,20.18,34.31,Annual Review
PH000013958,P01958,2023-09-25,5.9,8.19,Cost Increase
PH000013959,P01959,2023-09-24,23.11,29.45,Cost Increase
PH000013960,P01960,2023-09-29,33.28,42.69,Annual Review
PH000013961,P01961,2023-10-01,36.44,58.23,Annual Review
PH000013962,P01962,2023-10-05,13.19,20.55,Promotion End
PH000013963,P01963,2023-09-23,28.14,48.36,Market Adjustment
PH000013964,P01964,2023-09-25,49.17,69.65,Annual Review
PH000013965,P01965,2023-09-24,10.35,14.77,Cost Increase
PH000013966,P01966,2023-10-02,13.45,16.47,Cost Increase
PH000013967,P01967,2023-10-04,35.88,52.63,Promotion End
PH000013968,P01968,2023-09-21,37.8,58.21,Cost Increase
PH000013969,P01969,2023-09-25,67.32,89.88,Cost Increase
PH000013970,P01970,2023-09-22,30.2,41.39,Promotion End
PH000013971,P01971,2023-10-07,31.69,37.26,Promotion End
